system:index,Date,Elevation,Month,NDVI,NDWI,Rainfall,Slope,VH,VV,Year,latitude,longitude,.geo
0_0,2022-01-01,482,1,0.4165511429309845,-0.4442532956600189,23.736852884292603,6.697633743286133,-15.483036479451897,-6.450932806924358,2022,11.180312779646037,76.70911582083832,"{""type"":""Point"",""coordinates"":[76.70911582083832,11.180312779646037]}"
0_1,2022-01-01,426,1,0.6109035015106201,-0.5386987328529358,9.009148836135864,2.6460633277893066,-13.839585018376006,-5.8611253998421695,2022,10.987085852094921,76.8747154069774,"{""type"":""Point"",""coordinates"":[76.8747154069774,10.987085852094921]}"
0_2,2022-01-01,75,1,0.6582340002059937,-0.6163551807403564,7.151909589767456,7.611429214477539,-12.329486413757927,-6.894210842061026,2022,10.835191961530898,76.47421493753582,"{""type"":""Point"",""coordinates"":[76.47421493753582,10.835191961530898]}"
0_3,2022-01-01,925,1,0.5074647665023804,-0.5424667596817017,47.9237699508667,36.03813171386719,-7.442752292496433,0.029688389855620112,2022,11.539844895843068,76.87841706918137,"{""type"":""Point"",""coordinates"":[76.87841706918137,11.539844895843068]}"
0_4,2022-01-01,105,1,0.711098849773407,-0.6595270037651062,13.056018590927124,10.096575736999512,-17.70681309231813,-9.032321305844313,2022,10.870820145178465,76.54036713945864,"{""type"":""Point"",""coordinates"":[76.54036713945864,10.870820145178465]}"
0_5,2022-01-01,1306,1,0.746346116065979,-0.717175304889679,50.810298919677734,26.846418380737305,-20.6885174207969,-12.862156368830014,2022,11.533485446273302,76.91365905393133,"{""type"":""Point"",""coordinates"":[76.91365905393133,11.533485446273302]}"
0_6,2022-01-01,113,1,0.8323782086372375,-0.7276746034622192,44.5204439163208,2.6455118656158447,-15.955058523033244,-8.779583153506035,2022,10.86571547489992,76.59116046305539,"{""type"":""Point"",""coordinates"":[76.59116046305539,10.86571547489992]}"
0_7,2022-01-01,417,1,0.20293232798576355,-0.21582509577274323,0.0,2.104076623916626,-13.255593253407838,-9.144554032144857,2022,10.9963888451542,76.9752457379777,"{""type"":""Point"",""coordinates"":[76.9752457379777,10.9963888451542]}"
0_8,2022-01-01,473,1,0.4760468006134033,-0.5143150091171265,55.27217483520508,0.9445474743843079,-18.325149283977368,-9.861118071442728,2022,10.931945134207174,76.74082111205617,"{""type"":""Point"",""coordinates"":[76.74082111205617,10.931945134207174]}"
0_9,2022-01-01,2235,1,0.8038939833641052,-0.7492965459823608,33.49931240081787,12.116751670837402,-16.25357047876809,-9.171852804508756,2022,11.41423261415946,76.74438931043758,"{""type"":""Point"",""coordinates"":[76.74438931043758,11.41423261415946]}"
